experiment_reldir,diameter(mm)
5.000mm/0,5.0
5.000mm/1,5.0
5.000mm/2,5.0
5.000mm/3,5.0
5.000mm/4,5.0
5.000mm/5,5.0
5.000mm/6,5.0
5.000mm/7,5.0
5.000mm/8,5.0
5.000mm/9,5.0
5.000mm/10,5.0
5.000mm/11,5.0
5.000mm/12,5.0
5.000mm/13,5.0
5.000mm/14,5.0
5.000mm/15,5.0
5.000mm/16,5.0
5.000mm/17,5.0
5.000mm/18,5.0
5.000mm/19,5.0
5.000mm/20,5.0
5.000mm/21,5.0
5.000mm/22,5.0
5.000mm/23,5.0
5.000mm/24,5.0
5.000mm/25,5.0
5.000mm/26,5.0
5.000mm/27,5.0
5.000mm/28,5.0
5.000mm/29,5.0
5.000mm/30,5.0
5.000mm/31,5.0
5.000mm/32,5.0
5.000mm/33,5.0
5.000mm/34,5.0
5.000mm/35,5.0
5.000mm/36,5.0
5.000mm/37,5.0
5.000mm/38,5.0
5.000mm/39,5.0
5.000mm/40,5.0
5.000mm/41,5.0
5.000mm/42,5.0
5.000mm/43,5.0
5.000mm/44,5.0
5.000mm/45,5.0
5.000mm/46,5.0
5.000mm/47,5.0
5.000mm/48,5.0
5.000mm/49,5.0
5.000mm/50,5.0
