Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00017903,1.5952E-05,-0.022982,0,0,0,0.16592,7.4336E-05,-1.133E-07,-7.8132E-08,6.2755E-05,3.2894E-08,4.8269E-05,0,0,0,0,0,0,package://five_link_grasper/meshes/base_link.STL,0.30196,0.28627,0.28627,1,0,0,0,0,0,0,package://five_link_grasper/meshes/base_link.STL,,rotate_motor_install-4;rotate_motor_install-3;mounting_the_board_type_c_asm(202001072134).stp-1;base_combine-1;HX-35HM-3;HX-35HM-2,坐标系11,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_link1,-0.00010562,-0.0010206,0.021916,0,0,0,0.034422,6.5934E-06,6.7162E-09,2.3276E-08,7.624E-06,5.2643E-08,5.0471E-06,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link1.STL,1,1,1,1,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link1.STL,,motor_link_right-3;HX-35HM_1.stp-8,坐标系1,基准轴1,right_joint1,revolute,-0.041,0,-0.042183,0.30047,-1.57,-0.30037,base_link,0,0,1,100,0,0,0,,,,,,,,
right_link2,0.028139,0.00019003,0.032051,0,0,0,0.064321,9.018E-06,-4.8423E-08,-2.9768E-06,3.7474E-05,-4.9295E-09,3.8219E-05,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link2.STL,1,1,1,1,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link2.STL,,motor_link_right_front-1;HX-35HM_1.stp-7;joint2_cover-1;joint2_cover2-1,坐标系2,基准轴2,right_joint2,revolute,-2.5823E-05,-0.020245,0.037446,-1.5715,0,3.1416,right_link1,0,0,-1,100,0,0,0,,,,,,,,
right_link3,0.057995,-0.010691,-0.018595,0,0,0,0.059438,7.7553E-06,4.9509E-06,-2.8229E-06,3.0093E-05,5.7045E-07,3.1699E-05,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link3.STL,1,1,1,1,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link3.STL,,link2_assem-1;HX-35HM_1.stp-1;C-HTPA16H3M060-K-P5-1;GSCLBR5-55.0_D-1;法兰轴承-6;法兰轴承-5;平垫圈D6X8X0.5 新-3;法兰轴承-3;法兰轴承-8;平垫圈D6X8X0.5 新-4;NUT-HEX4-7-3.2-S-1;平垫圈D6X8X0.5 新-5;法兰轴承-7,坐标系3,基准轴3,right_joint3,revolute,0.093519,0.00016967,0.068509,0.000696,0.12478,8.6618E-05,right_link2,-0.12455,-9.912E-05,0.99221,100,0,0,0,,,,,,,,
right_link4,0.031309,7.9653E-05,-0.020438,0,0,0,0.023823,5.894E-06,-2.3886E-08,5.2651E-09,4.9612E-06,-2.4585E-09,3.0776E-06,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link4.STL,1,1,1,1,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link4.STL,,link3-1;0_DS-LH8A_stp.stp-1,坐标系4,基准轴4,right_joint4,revolute,0.10382,-0.016613,0.0065102,-0.0001075,-0.12482,0,right_link3,0,0,1,100,0,0,0,,,,,,,,
right_link5,0.0083424,-6.3219E-05,0.015985,0,0,0,0.014306,1.7488E-06,-7.6641E-10,-3.5853E-07,2.0089E-06,4.0793E-10,2.3331E-06,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link5.STL,1,1,1,1,0,0,0,0,0,0,package://five_link_grasper/meshes/right_link5.STL,,镜向gelsight_mini_adapter-4;gelsight_mini-1;hinged_part-2;brass_column_long-5;brass_column_long-4;shock_assemble-4;brass_column_long-6;shock_assemble-3,坐标系5,基准轴5,right_joint5,revolute,0.058205,-0.0084517,-0.020248,-1.5709,0.0001075,-1.5708,right_link4,-0.00078393,0,1,100,0,0,0,,,,,,,,
left_link1,-0.00024868,0.001027,0.021916,0,0,0,0.034422,6.5935E-06,-1.1278E-09,1.9126E-08,7.624E-06,-5.3145E-08,5.0472E-06,0,0,0,0,0,0,package://five_link_grasper/meshes/left_link1.STL,1,1,1,1,0,0,0,0,0,0,package://five_link_grasper/meshes/left_link1.STL,,镜向motor_link_right-1;HX-35HM_1.stp-5,坐标系6,基准轴6,left_joint1,revolute,0.041,0,-0.042183,-0.061195,-1.57,-3.0803,base_link,0,0,1,100,0,0,0,,,,,,,,
left_link2,0.028147,0.00019069,0.032045,0,0,0,0.064321,9.0167E-06,-8.1788E-09,-2.971E-06,3.7474E-05,9.4995E-10,3.822E-05,0,0,0,0,0,0,package://five_link_grasper/meshes/left_link2.STL,1,1,1,1,0,0,0,0,0,0,package://five_link_grasper/meshes/left_link2.STL,,joint2_cover-2;motor_link_right_front-2;HX-35HM_1.stp-6;joint2_cover2-2,坐标系7,基准轴7,left_joint2,revolute,-2.784E-05,0.020255,0.037441,1.5717,0,3.1416,left_link1,0,0,1,100,0,0,0,,,,,,,,
left_link3,0.055227,0.010611,-0.025581,0,0,0,0.059438,7.4291E-06,-4.9876E-06,2.2315E-07,3.0093E-05,5.6224E-08,3.2025E-05,0,0,0,0,0,0,package://five_link_grasper/meshes/left_link3.STL,1,1,1,1,0,0,0,0,0,0,package://five_link_grasper/meshes/left_link3.STL,,镜向link2_assem-4;HX-35HM_1.stp-2;GSCLBR5-55.0_D-2;法兰轴承-9;C-HTPA16H3M060-K-P5-2;法兰轴承-10;法兰轴承-11;平垫圈D6X8X0.5 新-7;NUT-HEX4-7-3.2-S-2;平垫圈D6X8X0.5 新-8;法兰轴承-13;法兰轴承-14;平垫圈D6X8X0.5 新-10,坐标系8,基准轴8,left_joint3,revolute,0.093535,0.00012464,0.068491,-0.00078955,9.9743E-05,0,left_link2,0,0,1,100,0,0,0,,,,,,,,
left_link4,0.031309,-7.385E-05,-0.020058,0,0,0,0.023823,5.894E-06,2.3887E-08,-4.9873E-09,4.9612E-06,-2.4774E-09,3.0776E-06,0,0,0,0,0,0,package://five_link_grasper/meshes/left_link4.STL,1,1,1,1,0,0,0,0,0,0,package://five_link_grasper/meshes/left_link4.STL,,link3-2;0_DS-LH8A_stp_1.stp-1,坐标系9,基准轴9,left_joint4,revolute,0.10383,0.016616,-0.00647,-0.00020654,4.9254E-05,0,left_link3,0,0,1,100,0,0,0,,,,,,,,
